country	continent	year	pop	lifeExp	gdpPercap	color
China	Asia	1952	556263527.999989	44	400.448610699994	#40004B
India	Asia	1952	3.72e+08	37.373	546.5657493	#460552
United States	Americas	1952	157553000	68.44	13990.48208	#A50026
Japan	Asia	1952	86459025	63.03	3216.956347	#4D0A59
Indonesia	Asia	1952	82052000	37.468	749.6816546	#540F60
Germany	Europe	1952	69145952	67.5	7144.114393	#276419
Brazil	Americas	1952	56602560	50.917	2108.944355	#AD0826
United Kingdom	Europe	1952	50430000	69.18	9979.508487	#2C6A1A
Italy	Europe	1952	47666000	65.94	4931.404155	#31701B
Bangladesh	Asia	1952	46886859	37.484	684.2441716	#5B1567
France	Europe	1952	42459667	67.41	7029.809327	#36771C
Pakistan	Asia	1952	41346560	43.436	684.5971438	#611A6D
Nigeria	Africa	1952	33119096	36.324	1077.281856	#7F3B08
Mexico	Americas	1952	30144317	50.789	3478.125529	#B51026
Spain	Europe	1952	28549870	64.94	3834.034742	#3B7D1D
Vietnam	Asia	1952	26246839	40.412	605.0664917	#681F75
Poland	Europe	1952	25730551	61.31	4029.329699	#41831E
Philippines	Asia	1952	22438691	47.752	1272.880995	#6F247B
Turkey	Europe	1952	22235677	43.585	1969.10098	#468A1F
Egypt	Africa	1952	22223309	41.893	1418.822445	#833D07
Thailand	Asia	1952	21289402	50.848	757.7974177	#762A83
Korea, Rep.	Asia	1952	20947571	47.453	1030.592226	#7A3288
Ethiopia	Africa	1952	20860941	34.078	362.1462796	#873F07
Myanmar	Asia	1952	20092996	36.319	331	#7E3B8C
Argentina	Americas	1952	17876956	62.485	5911.315053	#BE1826
Iran	Asia	1952	17272000	44.869	3035.326002	#834492
Romania	Europe	1952	16630000	61.05	3144.613186	#4B9020
Canada	Americas	1952	14785584	68.75	11367.16112	#C62026
South Africa	Africa	1952	14264935	45.009	4725.295531	#8B4107
Congo, Dem. Rep.	Africa	1952	14100005	39.143	780.5423257	#8F4407
Colombia	Americas	1952	12350771	50.643	2144.115096	#CE2726
Netherlands	Europe	1952	10381988	72.13	8941.571858	#529624
Morocco	Africa	1952	9939217	42.873	1688.20357	#934607
Hungary	Europe	1952	9504000	64.03	5263.673816	#599C28
Algeria	Africa	1952	9279525	43.077	2449.008185	#974807
Nepal	Asia	1952	9182536	36.157	545.8657229	#874D96
Czech Republic	Europe	1952	9125183	66.87	6876.14025	#5FA12D
Korea, Dem. Rep.	Asia	1952	8865488	50.056	1088.277758	#8B559B
Belgium	Europe	1952	8730405	68	8343.105127	#66A731
Australia	Oceania	1952	8691212	69.12	10039.59564	#313695
Taiwan	Asia	1952	8550362	58.5	1206.947913	#905EA1
Portugal	Europe	1952	8526050	59.82	3068.319867	#6DAD35
Sudan	Africa	1952	8504667	38.635	1615.991129	#9B4A06
Afghanistan	Asia	1952	8425333	28.801	779.4453145	#9467A5
Tanzania	Africa	1952	8322925	41.215	716.6500721	#9F4D06
Peru	Americas	1952	8025700	43.902	3758.523437	#D73027
Sri Lanka	Asia	1952	7982342	57.593	1083.53203	#9970AB
Greece	Europe	1952	7733250	65.86	3530.690067	#74B33A
Bulgaria	Europe	1952	7274900	59.6	2444.286648	#7BB93E
Sweden	Europe	1952	7124673	71.86	8527.844662	#82BE45
Austria	Europe	1952	6927772	66.8	6137.076492	#8AC34F
Serbia	Europe	1952	6860147	57.996	3581.459448	#92C858
Malaysia	Asia	1952	6748378	48.463	1831.132894	#9E76AF
Kenya	Africa	1952	6464046	42.27	853.540919	#A34F06
Mozambique	Africa	1952	6446316	31.286	468.5260381	#A75106
Chile	Americas	1952	6377619	54.745	3939.978789	#DB3A2B
Cuba	Americas	1952	6007797	59.421	5586.53878	#E04430
Uganda	Africa	1952	5824797	39.978	734.753484	#AB5406
Ghana	Africa	1952	5581001	43.149	911.2989371	#AF5606
Iraq	Asia	1952	5441766	45.32	4129.766056	#A37DB3
Venezuela	Americas	1952	5439568	55.088	7689.799761	#E54E35
Cameroon	Africa	1952	5009067	38.523	1172.667655	#B35806
Yemen, Rep.	Asia	1952	4963829	32.548	781.7175761	#A883B8
Switzerland	Europe	1952	4815000	69.62	14734.23275	#9ACD62
Madagascar	Africa	1952	4762912	36.681	1443.011715	#B75C07
Cambodia	Asia	1952	4693836	39.417	368.4692856	#AD8ABD
Burkina Faso	Africa	1952	4469979	31.975	543.2552413	#BA5F08
Denmark	Europe	1952	4334000	70.78	9692.385245	#A2D26B
Angola	Africa	1952	4232095	30.015	3520.610273	#BE6209
Finland	Europe	1952	4090500	66.55	6424.519071	#AAD875
Saudi Arabia	Asia	1952	4005677	39.875	6459.554823	#B291C1
Croatia	Europe	1952	3882229	61.21	3119.23652	#B2DD7E
Mali	Africa	1952	3838168	33.685	452.3369807	#C2650A
Syria	Asia	1952	3661549	45.883	1643.485354	#B797C6
Tunisia	Africa	1952	3647735	44.6	1468.475631	#C5690B
Slovak Republic	Europe	1952	3558137	64.36	5074.659104	#B9E188
